Images,,,,,,,,slider.rt,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.6420288,,,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.2618057,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,1.0774759,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,3.0861768,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.4368229,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.3674517,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,2.5339611,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.6517564,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.1232141,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.0612222,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,2.5114327,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.8491809,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,1.5896456,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.2317699,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,1.8175001,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.7989127,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.0477864,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.3551192,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,3.8918812,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0.2655269,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.7562038,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,1.91687,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.6957017,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.3628605,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.1400753,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.2450087,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,2.8645075,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,3.2184227,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,2.1391322,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,1.3115263,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,3.3581445,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.7165896,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.8472813,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.465056,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0.0525552,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.287619,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.1301604,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.1109897,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0.7987653,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.6398101,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,2.0113803,,,,,,,
